Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0007-A-2281-2337-2243;;0007;C7;2245;Haut Bois;4;true;true
0077-A-1214-3617;;0077;77;3169;Beausoleil;10;true;true
0006-A-2089-2277;;0006;C6;2039;Bordage;2;true;true
0007-A-2281-2337-2243;;0007;C7;2233;Abbé Grimault;5;true;true
0077-A-1214-3617;;0077;77;3167;Champalaune;11;true;true
0006-A-2089-2277;;0006;C6;2009;Fontenelle;7;true;true
0007-A-2281-2337-2243;;0007;C7;2243;Aire Libre;6;true;true
0077-A-1519-3125-3137;;0077;77;3112;Opéra;4;true;true
0006-A-2089-2277;;0006;C6;2010;Mare Pavée;8;true;true
0007-A-2281-2337-2243;;0007;C7;2323;Rabine;18;true;true
0077-A-1519-3125-3137;;0077;77;3171;Baiersdorf;11;true;true
0006-A-2089-2277;;0006;C6;2012;Muguet;10;true;true
0007-A-2281-2337-2243;;0007;C7;2324;Haut Launay;19;true;true
0077-A-1519-3125-3137;;0077;77;3167;Champalaune;13;true;true
0006-A-2089-2277;;0006;C6;2013;Vilaine;11;true;true
0007-A-2281-2337-2243;;0007;C7;2374;Châteliers;20;true;true
0077-A-1519-3134;;0077;77;3169;Beausoleil;9;true;true
0006-A-2089-2277;;0006;C6;2015;Hublais;13;true;true
0007-A-2281-2337-2243;;0007;C7;2337;Lavoisier;28;true;true
0077-A-1519-3134;;0077;77;3125;Pâtis Roussel;12;true;true
0006-A-2089-2277;;0006;C6;1161;Plaine de Baud;18;true;true
0007-A-2281-2361;;0007;C7;2305;Vert Buisson;12;true;true
0077-A-1519-3134;;0077;77;3102;Pie Neuve;16;true;true
0006-A-2089-2277;;0006;C6;1164;Pont de Châteaudun;22;true;true
0007-A-2377-2361;;0007;C7;2321;Gavrinis;2;true;true
0077-A-1519-3134;;0077;77;3119;Pinault;19;true;true
0006-A-2089-2277;;0006;C6;1165;Paul Bert;23;true;true
0007-A-2377-2361;;0007;C7;2323;Rabine;4;true;true
0077-A-1519-3732;;0077;77;3113;Le Ponant;4;true;true
0006-A-2089-2277;;0006;C6;1052;République;25;true;true
0007-B-2338-2281;;0007;C7;2339;Champ Niguel;2;true;true
0077-A-1519-3732;;0077;77;3169;Beausoleil;9;true;true
0006-A-2089-2277;;0006;C6;1611;Redon;29;true;true
0007-B-2338-2281;;0007;C7;2340;Bobinais;3;true;true
0077-A-1519-3732;;0077;77;3125;Pâtis Roussel;12;true;true
0006-A-2089-2277;;0006;C6;2224;Morinais;41;true;true
0007-B-2338-2281;;0007;C7;2341;Pasteur;4;true;true
0077-B-3125-1519;;0077;77;3125;Pâtis Roussel;1;true;true
0006-B-2277-2089;;0006;C6;2277;Aéroport;1;true;true
0007-B-2338-2281;;0007;C7;2303;Haut Launay;10;true;true
0077-B-3125-1519;;0077;77;3176;Pacé Cimetière;7;true;true
0006-B-2277-2089;;0006;C6;2201;Morinais;4;true;true
0007-B-2338-2281;;0007;C7;2308;Croix Madame;15;true;true
0077-B-3125-1519;;0077;77;1519;Villejean-Université;12;true;true
0006-B-2277-2089;;0006;C6;1570;Coeur de Courrouze;13;true;true
0007-B-2338-2281;;0007;C7;2311;Coeur de Campus;17;true;true
0077-B-3125-1519-3139;;0077;77;3176;Pacé Cimetière;7;true;true
0006-B-2277-2089;;0006;C6;1587;Cité Judiciaire;17;true;true
0007-B-2338-2281;;0007;C7;2313;Lande du Pont;19;true;true
0077-B-3732-1519;;0077;77;3705;Saint-Gilles Centre;4;true;true
