Parcours (ID);Parcours (libellé court);Ligne (ID);Ligne (nom court);Point d'arrêt (ID);Point d'arrêt (nom);Ordre;Montée autorisée;Descente autorisée
0014-B-1234-1312;;0014;14;1418;Géniaux;2;true;true
0014-B-1234-1312;;0014;14;1040;Donelière;20;true;true
0014-B-1234-1312;;0014;14;1425;Trois Croix;21;true;true
0014-B-1234-1312;;0014;14;1201;Vitré Foulon;37;true;true
0014-B-1234-1312;;0014;14;1176;Beaulieu INSA;40;true;true
0014-B-1234-2059;;0014;14;1418;Géniaux;2;true;true
0014-B-1234-2059;;0014;14;1422;Merlin;7;true;true
0014-B-1234-2059;;0014;14;1425;Trois Croix;21;true;true
0014-B-1234-2059;;0014;14;1625;Armorique;22;true;true
0014-B-1234-2059;;0014;14;1375;Les Gayeulles;30;true;true
0014-B-1234-2059;;0014;14;1032;Painlevé;34;true;true
0014-B-1234-2059;;0014;14;1202;Beaulieu Cité U;38;true;true
0014-B-1234-2059;;0014;14;1312;Beaulieu Chimie;41;true;true
0014-B-1234-2059;;0014;14;2020;Taillis;43;true;true
0014-B-1234-2059;;0014;14;2021;Hublais;44;true;true
0032-A-2859-1727;;0032;32;2821;Paul-Emile Victor;4;true;true
0032-A-2859-1727;;0032;32;2811;Cité des Jardins;5;true;true
0032-A-2859-1727;;0032;32;2847;Forge;6;true;true
0032-A-2859-1727;;0032;32;1411;Bellangerais;9;true;true
0032-A-2859-1727;;0032;32;1654;Motte Brûlon;10;true;true
0032-A-2859-1727;;0032;32;1656;Volney;11;true;true
0032-A-2859-1727;;0032;32;1560;Bourgeois;22;true;true
0032-A-2859-1727;;0032;32;1445;Clemenceau;25;true;true
0032-A-2859-1727;;0032;32;1622;Alma;28;true;true
0032-B-1727-2859;;0032;32;1623;Alma;2;true;true
0032-B-1727-2859;;0032;32;1471;Cimetière de l'Est;11;true;true
0034-A-1631-2059;;0034;34;9223;Cesson - Viasilva;3;true;true
0034-A-1631-2059;;0034;34;2075;Mare Pavée;7;true;true
0034-A-1631-2059;;0034;34;2148;Dézerseul;12;true;true
0034-A-1631-3028;;0034;34;2157;Gaudais;5;true;true
0034-A-1631-3028;;0034;34;2075;Mare Pavée;7;true;true
0034-A-1631-3028;;0034;34;3033;Breillou;22;true;true
0034-A-1631-3028;;0034;34;3001;Gériatrie;27;true;true
0034-B-2143-1631;;0034;34;2143;Monniais;1;true;true
0034-B-2143-1631;;0034;34;2006;Petits Champs;7;true;true
0034-B-2143-1631;;0034;34;2156;Gaudais;13;true;true
0034-B-2143-1631;;0034;34;9226;Cesson - Viasilva;15;true;true
0034-B-3028-1631;;0034;34;3027;Touche Annette;2;true;true
0034-B-3028-1631;;0034;34;3032;Gériatrie;3;true;true
0034-B-3028-1631;;0034;34;2065;Cesson Gare;15;true;true
0034-B-3028-1631;;0034;34;2040;Chalotais;16;true;true
0034-B-3028-1631;;0034;34;9226;Cesson - Viasilva;27;true;true
0037-A-1647-2201;;0037;37;1647;Henri Fréville;1;true;true
0037-A-1647-2201;;0037;37;2273;Jean Pont;3;true;true
0037-A-1647-2201;;0037;37;2278;Saint-Jacques - Gaîté;4;true;true
0037-A-1647-2201;;0037;37;2255;Bellevue;9;true;true
0037-B-2201-1647;;0037;37;2253;Reuzerais;6;true;true
0037-B-2201-1647;;0037;37;2252;Maffeys;7;true;true
0037-B-2201-1647;;0037;37;2274;Jean Pont;9;true;true
0038-A-2063-2107-2130;;0038;38;2063;Monniais;1;true;true
0038-A-2063-2107-2130;;0038;38;2107;Ménouriais;3;true;true
0047-A-2281-2309;;0047;C7ex;2281;Saint-Jacques - Gaîté;1;true;true
0047-A-2281-2309;;0047;C7ex;2315;Lande du Pont;2;true;true
0047-A-2281-2361;;0047;C7ex;2377;Corbières;2;true;true
0050-A-3301-9222;;0050;50;3301;Landelles;1;true;true
0050-A-3301-9222;;0050;50;3305;Bocage;5;true;true
0050-A-3301-9222;;0050;50;2071;Calendrou;10;true;true
0050-A-3301-9222-3308;;0050;50;3322;Curien;2;true;true
0050-A-3301-9222-3308;;0050;50;2071;Calendrou;11;true;true
0050-A-3301-9222-3308;;0050;50;9222;Cesson - Viasilva;14;true;true
0050-B-1563-3301;;0050;50;9227;Cesson - Viasilva;2;true;true
0050-B-1563-3301;;0050;50;2152;Touche Lambert;3;true;true
0050-B-1563-3301;;0050;50;3310;Portail;7;true;true
0050-B-1563-3301;;0050;50;3313;Bocage;10;true;true
0050-B-9227-3301;;0050;50;2115;Château de Vaux;3;true;true
0050-B-9227-3301;;0050;50;2072;Calendrou;4;true;true
0050-B-9227-3301;;0050;50;2073;Victoire;5;true;true
0050-B-9227-3301;;0050;50;3304;Anne de Bretagne;10;true;true
0050-B-9227-3301-3308;;0050;50;2115;Château de Vaux;3;true;true
0050-B-9227-3301-3308;;0050;50;2073;Victoire;5;true;true
0050-B-9227-3301-3308;;0050;50;3311;Fouillard;9;true;true
0051-A-2401-1723;;0051;51;2401;Champ Devant;1;true;true
0051-A-2401-1723;;0051;51;1159;Hôtel de Région;14;true;true
0051-A-2401-1723-2458;;0051;51;2410;Enseigne Abbaye;13;true;true
0051-A-2401-1723-2458;;0051;51;2827;Maison Blanche;15;true;true
0051-A-2401-1723-2458;;0051;51;1723;Les Gayeulles;18;true;true
0051-B-1556-3951;;0051;51;1723;Les Gayeulles;2;true;true
0051-B-1556-3951;;0051;51;2401;Champ Devant;16;true;true
0051-B-1556-3951;;0051;51;4602;Fonderies;24;true;true
0051-B-1723-2401;;0051;51;1428;Hôtel de Région;2;true;true
0051-B-1723-2401;;0051;51;1491;Saint-Laurent;3;true;true
0051-B-1723-2401;;0051;51;2829;Maison Blanche;4;true;true
0051-B-1723-2401-2451;;0051;51;2829;Maison Blanche;4;true;true
0051-B-1723-2401-2451;;0051;51;2416;Haye Renaud Gare;9;true;true
0051-B-1723-2401-2451;;0051;51;2417;Betton Centre;10;true;true
0051-B-1723-2401-2451;;0051;51;2451;Gentilhommière;11;true;true
0052-A-4069-1497;;0052;52;1543;Léonard;16;true;true
0052-A-4069-1497;;0052;52;1497;Villejean-Université;18;true;true
0052-A-4069-3732;;0052;52;4054;La Chapelle Centre;3;true;true
0052-A-4069-3732;;0052;52;3514;Fougerolle;7;true;true
0052-A-4069-3732;;0052;52;1543;Léonard;16;true;true
0052-A-4069-3732;;0052;52;1497;Villejean-Université;18;true;true
0052-A-4069-3732;;0052;52;3711;Vigne;27;true;true
0052-A-4069-3732;;0052;52;3712;Pont aux Moines;28;true;true
0052-A-4069-3732-4066;;0052;52;4053;Métairie;2;true;true
0052-A-4069-3732-4066;;0052;52;4054;La Chapelle Centre;3;true;true
0052-A-4069-3732-4066;;0052;52;3502;Pierre Texier;7;true;true
0052-A-4069-3732-4066;;0052;52;1493;Préfecture;16;true;true
0052-A-4069-3732-4066;;0052;52;1518;Bourbonnais;18;true;true
0052-A-4507-1553;;0052;52;4502;Gévezé Mairie;4;true;true
0052-A-4507-1553;;0052;52;1493;Préfecture;22;true;true
0052-A-4507-1553;;0052;52;1553;Villejean-Université;23;true;true
0052-B-1501-4507;;0052;52;1537;Léonard;4;true;true
0052-B-1501-4507;;0052;52;3510;Belle Epine;9;true;true
0052-B-1501-4507;;0052;52;4057;Sénestrais;15;true;true
0052-B-1501-4507;;0052;52;4059;La Chapelle Centre;17;true;true
0052-B-1553-4507;;0052;52;2860;Robiquette;5;true;true
0052-B-1553-4507;;0052;52;3513;Pierre Texier;11;true;true
0052-B-1553-4507;;0052;52;4059;La Chapelle Centre;16;true;true
0052-B-3732-1553;;0052;52;3708;Vigne;6;true;true
0052-B-3732-1553;;0052;52;3119;Pinault;11;true;true
0052-B-3732-4069;;0052;52;3705;Saint-Gilles Centre;4;true;true
0052-B-3732-4069;;0052;52;3707;Pont aux Moines;5;true;true
0052-B-3732-4069;;0052;52;3708;Vigne;6;true;true
0052-B-3732-4069;;0052;52;3103;Docteur Léon;9;true;true
0052-B-3732-4069;;0052;52;1553;Villejean-Université;15;true;true
0052-B-3732-4069;;0052;52;2830;Grand Quartier;18;true;true
0052-B-3732-4069-4067;;0052;52;3715;Clos des Cerisiers;3;true;true
0052-B-3732-4069-4067;;0052;52;3705;Saint-Gilles Centre;4;true;true
0052-B-3732-4069-4067;;0052;52;3707;Pont aux Moines;5;true;true
0052-B-3732-4069-4067;;0052;52;1517;Berry;13;true;true
0052-B-3732-4069-4067;;0052;52;2830;Grand Quartier;18;true;true
0052-B-3732-4069-4067;;0052;52;3513;Pierre Texier;25;true;true
0052-B-3732-4069-4067;;0052;52;3501;Fougerolle;26;true;true
0052-B-3732-4069-4067;;0052;52;4058;Viennais;28;true;true
0053-A-1167-1499;;0053;53;1414;Merlin;7;true;true
0053-A-1167-1499;;0053;53;1499;Colin;8;true;true
0053-A-1167-3765;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4267;;0053;53;1217;Chèques Postaux;3;true;true
0053-A-1167-4267;;0053;53;1310;Marbeuf;5;true;true
0053-A-1167-4267;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4267;;0053;53;3771;Champs Bleus;12;true;true
0053-A-1167-4267;;0053;53;4307;Clairefontaine;18;true;true
0053-A-1167-4267;;0053;53;4311;Hautière;22;true;true
0053-A-1167-4267;;0053;53;4255;Grippière;23;true;true
0053-A-1167-4267;;0053;53;4256;Piardière;24;true;true
0053-A-1167-4267-4302;;0053;53;1167;République;1;true;true
0053-A-1167-4267-4302;;0053;53;1217;Chèques Postaux;3;true;true
0053-A-1167-4267-4302;;0053;53;1499;Colin;8;true;true
0053-A-1167-4267-4302;;0053;53;3761;Tertre;11;true;true
0053-A-1167-4267-4302;;0053;53;3764;Vallée;15;true;true
0053-A-1167-4267-4302;;0053;53;3765;Haie de Terre;16;true;true
0053-A-1167-4267-4302;;0053;53;4267;Ville aux Archers;28;true;true
0053-A-1167-4408;;0053;53;1498;Petit Champeaux;9;true;true
0053-A-1167-4408;;0053;53;3761;Tertre;11;true;true
0053-A-1167-4408;;0053;53;3762;Vezin Centre;13;true;true
0053-A-1167-4408;;0053;53;3764;Vallée;15;true;true
0053-A-1167-4408;;0053;53;4315;Noë Biche;17;true;true
0053-A-1167-4408;;0053;53;4270;Ville aux Archers;27;true;true
0053-A-1167-4408;;0053;53;4670;Chêne Vert;28;true;true
0053-A-1167-4408;;0053;53;4408;Le Verger Eglise;31;true;true
0053-B-1503-1167;;0053;53;1503;Colin;1;true;true
0053-B-4267-1167;;0053;53;4264;Place de la Mairie;2;true;true
0053-B-4267-1167;;0053;53;4305;Village;9;true;true
0053-B-4267-1167;;0053;53;3754;Haie de Terre;12;true;true
0053-B-4267-1167;;0053;53;3770;Champs Bleus;16;true;true
0053-B-4267-1167;;0053;53;3759;Champ Noël;18;true;true
0053-B-4267-1167;;0053;53;1503;Colin;20;true;true
0053-B-4267-1167;;0053;53;1239;Chèques Postaux;25;true;true
0053-B-4267-1167-4302;;0053;53;4253;Piardière;4;true;true
0053-B-4267-1167-4302;;0053;53;4254;Grippière;5;true;true
0053-B-4267-1167-4302;;0053;53;4302;ESAT La Hautière;7;true;true
0053-B-4267-1167-4302;;0053;53;4303;L'Hermitage Gare;8;true;true
0053-B-4267-1167-4302;;0053;53;1503;Colin;21;true;true
0054-A-1214-4201;;0054;54;1540;Pont de Bretagne;2;true;true
0054-A-1567-2519;;0054;54;1567;Charles de Gaulle;1;true;true
0054-A-1567-2519;;0054;54;3766;Trois Marches;9;true;true
0054-A-1567-2519;;0054;54;2513;Les Pins;12;true;true
0054-A-1567-2519;;0054;54;2515;Genêts;14;true;true
0054-A-1567-2519;;0054;54;2543;Platanes;16;true;true
0054-A-1567-3869;;0054;54;2547;Clos Joury;18;true;true
0054-A-1567-3869;;0054;54;2541;Egalité;20;true;true
0054-A-1567-3869;;0054;54;3860;Grande Fontaine;22;true;true
0054-A-1567-3869;;0054;54;3861;Croix Ignon;23;true;true
0054-A-1567-3869;;0054;54;3864;Mordelles Mairie;26;true;true
0054-A-1567-3869;;0054;54;3865;Mordelles Eglise;27;true;true
0054-A-1567-4671;;0054;54;1506;Berthault;8;true;true
0054-A-1567-4671;;0054;54;2511;Plessix Saucourt;10;true;true
0054-A-1567-4671;;0054;54;2513;Les Pins;12;true;true
0054-A-1567-4671;;0054;54;2516;Bouleaux;15;true;true
0054-A-2515-4671;;0054;54;2515;Genêts;1;true;true
0054-A-2515-4671;;0054;54;2519;Lycée Monod;6;true;true
0054-B-2502-1567;;0054;54;2502;Lycée Monod;1;true;true
0054-B-2502-1567;;0054;54;2548;Clos Joury;2;true;true
0054-B-2502-1567;;0054;54;2505;Bouleaux;5;true;true
0054-B-2502-1567;;0054;54;2506;Genêts;6;true;true
0054-B-2502-1567;;0054;54;2507;Barberais;7;true;true
0054-B-2502-1567;;0054;54;1233;Lemaistre;13;true;true
0054-B-4671-1567;;0054;54;2507;Barberais;11;true;true
0054-B-4671-1567;;0054;54;2508;Les Pins;12;true;true
0054-B-4671-1567;;0054;54;1235;Géniaux;18;true;true
0054-B-4671-1567;;0054;54;1238;Guilloux Lorient;19;true;true
0054-B-4671-1567;;0054;54;1090;République;22;true;true
0055-A-1567-3851;;0055;55;1218;Guilloux Lorient;5;true;true
0055-A-1567-3851;;0055;55;3859;Vivier des Bois;13;true;true
0055-A-1567-3851;;0055;55;3860;Grande Fontaine;14;true;true
0055-A-1567-3851;;0055;55;3851;Mordelles Pâtis;20;true;true
0055-A-1567-4201;;0055;55;1567;Charles de Gaulle;1;true;true
0055-A-1567-4201;;0055;55;1214;République;2;true;true
0055-A-1567-4201;;0055;55;3766;Trois Marches;9;true;true
0055-A-1567-4201;;0055;55;2512;Pont d'Avoine;10;true;true
0055-A-1567-4201;;0055;55;2523;Mahomat;11;true;true
0055-A-1567-4201;;0055;55;3864;Mordelles Mairie;18;true;true
0055-A-1567-4201;;0055;55;4203;Alfred de Musset;23;true;true
0055-A-1567-4408;;0055;55;1506;Berthault;8;true;true
0055-A-1567-4408;;0055;55;2523;Mahomat;11;true;true
0055-A-1567-4408;;0055;55;2524;Gerhoui;12;true;true
0055-A-1567-4408;;0055;55;3860;Grande Fontaine;14;true;true
0055-A-1567-4408;;0055;55;3863;Mordelles Lilas;17;true;true
0055-A-1567-4408;;0055;55;3864;Mordelles Mairie;18;true;true
0055-A-1567-4408;;0055;55;4408;Le Verger Eglise;22;true;true
0055-B-3851-1567;;0055;55;3851;Mordelles Pâtis;1;true;true
0055-B-3851-1567;;0055;55;3853;Mordelles Mairie;3;true;true
0055-B-3851-1567;;0055;55;3854;Mordelles Lilas;4;true;true
0055-B-3851-1567;;0055;55;3857;Grande Fontaine;7;true;true
0055-B-3851-1567;;0055;55;1542;Pont de Bretagne;18;true;true
0055-B-4201-1567;;0055;55;3858;Vivier des Bois;13;true;true
0055-B-4201-1567;;0055;55;1088;Liberté;25;true;true
0055-B-4201-1567;;0055;55;1567;Charles de Gaulle;26;true;true
0055-B-4401-1567;;0055;55;4401;Le Verger Eglise;1;true;true
0055-B-4401-1567;;0055;55;3858;Vivier des Bois;10;true;true
0055-B-4401-1567;;0055;55;1233;Lemaistre;16;true;true
0056-A-1595-4201;;0056;56;1540;Pont de Bretagne;3;true;true
0056-A-1595-4201;;0056;56;1218;Guilloux Lorient;5;true;true
0056-A-1595-4201;;0056;56;1221;Géniaux;6;true;true
0056-A-1595-4201;;0056;56;2523;Mahomat;11;true;true
0056-A-1595-4201;;0056;56;4207;Mare Doux;14;true;true
0056-A-1595-4201;;0056;56;4211;Calvaire;18;true;true
0056-B-4201-1595;;0056;56;1235;Géniaux;14;true;true
0056-B-4201-1595;;0056;56;1238;Guilloux Lorient;15;true;true
0056-B-4201-1595;;0056;56;1090;République;18;true;true
0059-A-1564-2372;;0059;59;2902;Croix aux Potiers;7;true;true
0059-A-1564-2372;;0059;59;2348;Victor Hugo;13;true;true
0059-A-1564-2372;;0059;59;2301;Bruz Centre;14;true;true
0059-A-1564-2372;;0059;59;2344;Noë;16;true;true
0059-B-2372-1564;;0059;59;2702;Vallon;14;true;true
0059-B-2372-1564;;0059;59;1456;Coubertin;16;true;true
0061-A-1090-3801;;0061;61;2720;Louis Texier;9;true;true
0061-A-1090-3801;;0061;61;4354;Paul Féval;20;true;true
0061-A-1090-3801;;0061;61;4355;Champ Mulon;21;true;true
0061-A-1090-3801;;0061;61;3807;La Basse Erable;33;true;true
0061-A-1510-2775;;0061;61;2716;Petit Beaulieu;4;true;true
0061-A-1510-3801;;0061;61;2716;Petit Beaulieu;4;true;true
0061-A-1510-3801;;0061;61;2720;Louis Texier;8;true;true
0061-A-1510-3801;;0061;61;4363;Alexandre Gilois;18;true;true
0061-A-1510-3801;;0061;61;4351;Parc d'Activités;21;true;true
0061-A-1510-3801;;0061;61;3259;Ormes Blanches;30;true;true
0061-A-1510-3801;;0061;61;3839;Salle de Sports;35;true;true
0061-A-1510-4351;;0061;61;2716;Petit Beaulieu;4;true;true
0061-A-1510-4351;;0061;61;2724;Bray;15;true;true
0061-A-1510-4351;;0061;61;4361;Croix Faucheux;17;true;true
0061-B-3801-1510;;0061;61;3260;Ormes Blanches;7;true;true
0061-B-3801-1510;;0061;61;3211;Groupe Scolaire;10;true;true
0061-B-3801-1510;;0061;61;3213;Plardière;13;true;true
0061-B-3801-1510;;0061;61;3250;Orgerblon;14;true;true
0061-B-3801-1510;;0061;61;4351;Parc d'Activités;16;true;true
0061-B-3801-1510;;0061;61;4353;Paul Féval;18;true;true
0061-B-3801-1510;;0061;61;4359;Leuzières;21;true;true
0061-B-3801-1510;;0061;61;2727;Pont;25;true;true
0061-B-3801-1510;;0061;61;2707;Potiers;27;true;true
0061-B-3801-1510;;0061;61;2710;Petite Saudrais;30;true;true
0061-B-3801-1510;;0061;61;2712;Mail Lancé;32;true;true
0061-B-3801-1510;;0061;61;2713;Petit Beaulieu;33;true;true
0061-B-3801-1510;;0061;61;2714;Hil-Bintinais;34;true;true
0061-B-3801-1510;;0061;61;1441;Triangle;35;true;true
0061-B-3801-1510;;0061;61;1510;Henri Fréville;36;true;true
0061-B-4351-1510;;0061;61;2774;Ise;8;true;true
0061-B-4351-1510;;0061;61;2710;Petite Saudrais;15;true;true
0061-B-4351-1510;;0061;61;2712;Mail Lancé;17;true;true
0062-A-1090-4112;;0062;62;1533;La Poterie;2;true;true
0062-A-1090-4112;;0062;62;2614;Val d'Orson;6;true;true
0062-A-1090-4112;;0062;62;2618;Croix Rouge;11;true;true
0062-A-1090-4112;;0062;62;2632;Moulin;17;true;true
0062-A-1090-4112;;0062;62;3402;Langlois;23;true;true
0062-A-1090-4112;;0062;62;4111;Huberdières;33;true;true
0062-A-1533-2601;;0062;62;2612;Hallerais;3;true;true
0062-A-1533-2601;;0062;62;2605;Fosse Gauchère;9;true;true
0062-A-1533-2601;;0062;62;2634;Vern Eglise;11;true;true
0062-A-1533-2601;;0062;62;2621;Vern La Touche;13;true;true
0062-A-1533-3401;;0062;62;2637;Solidor;8;true;true
0062-A-1533-4112;;0062;62;2620;Bel Air;12;true;true
0062-A-1533-4112;;0062;62;4552;Saint-Armel Gare;17;true;true
0062-A-1533-4112;;0062;62;4109;Corps-Nuds Mairie;22;true;true
0062-A-1533-4112;;0062;62;4110;Place de Kildare;23;true;true
0062-A-1533-4112-3401;;0062;62;1533;La Poterie;1;true;true
0062-A-1533-4112-3401;;0062;62;2612;Hallerais;3;true;true
0062-A-1533-4112-3401;;0062;62;2605;Fosse Gauchère;9;true;true
0062-A-1533-4112-3401;;0062;62;2632;Moulin;16;true;true
0062-A-1533-4112-3401;;0062;62;4109;Corps-Nuds Mairie;30;true;true
0062-A-1533-4112-3401;;0062;62;4112;Corps-Nuds Gare;33;true;true
0062-A-2614-2601;;0062;62;2637;Solidor;4;true;true
0062-A-2614-2601;;0062;62;2634;Vern Eglise;7;true;true
0062-A-2614-2601;;0062;62;2601;Croix Malinge;10;true;true
0062-B-2601-1533;;0062;62;1533;La Poterie;13;true;true
0062-B-2609-1533;;0062;62;3024;Martinière;4;true;true
0062-B-3401-1533;;0062;62;2635;Croix Malinge;9;true;true
0062-B-3401-1533;;0062;62;2617;Fosse Gauchère;13;true;true
0062-B-4112-1533;;0062;62;4104;Corps-Nuds Mairie;4;true;true
0062-B-4112-1533;;0062;62;3816;Launay Garnier;6;true;true
0062-B-4112-1533;;0062;62;4555;Saint-Armel Gare;9;true;true
0062-B-4112-1533;;0062;62;2604;Croix Rouge;15;true;true
0062-B-4112-1533;;0062;62;2606;Solidor;17;true;true
0062-B-4112-1533;;0062;62;2608;Bretonnière;19;true;true
0062-B-4112-1533;;0062;62;3024;Martinière;23;true;true
0063-A-1451-2347;;0063;63;1451;Lycée Bréquigny;1;true;true
0063-A-1451-2347;;0063;63;2345;Rabine;4;true;true
0063-A-1451-2347;;0063;63;2347;Pont-Réan;6;true;true
0063-A-2282-2347;;0063;63;2347;Pont-Réan;4;true;true
0063-B-2327-1455;;0063;63;2346;Croix Vaisserelle;2;true;true
0063-B-2327-1455;;0063;63;2279;Saint-Jacques - Gaîté;4;true;true
0063-B-2327-1575;;0063;63;2279;Saint-Jacques - Gaîté;4;true;true
0063-B-2327-1575;;0063;63;1590;Jules Verne;5;true;true
0063-B-2327-1575;;0063;63;1575;Gares;6;true;true
0063-B-2327-2282;;0063;63;2346;Croix Vaisserelle;2;true;true
0064-A-2101-9225;;0064;64;2155;Bouriande;4;true;true
0064-A-4001-9225;;0064;64;4004;Foyer;5;true;true
0064-A-4001-9225;;0064;64;4007;Boulais;8;true;true
0064-A-4020-9225;;0064;64;4001;Timonière;3;true;true
0064-A-4020-9225;;0064;64;4018;Lande;6;true;true
0064-A-4020-9225;;0064;64;2079;Verger;11;true;true
0064-A-4020-9225;;0064;64;9225;Cesson - Viasilva;14;true;true
0064-B-1556-4001;;0064;64;2084;Verger;4;true;true
0064-B-1556-4001;;0064;64;3318;Pâtis du Moulinet;6;true;true
0064-B-1556-4001;;0064;64;4001;Timonière;14;true;true
0064-B-9225-4019;;0064;64;9229;Gaudais;2;true;true
0064-B-9225-4019;;0064;64;3318;Pâtis du Moulinet;5;true;true
0065-A-1519-3141;;0065;65;1518;Bourbonnais;2;true;true
0065-A-1519-3141;;0065;65;3114;Carré Dumaine;5;true;true
0065-A-1519-3141;;0065;65;3115;Pacé Cimetière;6;true;true
0065-A-1519-3617;;0065;65;3114;Carré Dumaine;4;true;true
0065-A-1519-3617;;0065;65;3143;Haute Rabine;5;true;true
0065-A-1519-3617;;0065;65;3146;Touche Champagne;7;true;true
0065-A-1519-3617;;0065;65;3611;Le Reuvre;8;true;true
0065-A-1519-3617-3115;;0065;65;3113;Le Ponant;4;true;true
0065-A-1565-1519;;0065;65;1565;Lycée Basch;1;true;true
0065-A-1565-1519;;0065;65;1519;Villejean-Université;2;true;true
0065-B-3136-1519;;0065;65;3109;Pacé Cimetière;4;true;true
0065-B-3136-1565;;0065;65;3107;Renan;2;true;true
0065-B-3136-1565;;0065;65;3108;Duchesse Anne;3;true;true
0065-B-3136-1565;;0065;65;3109;Pacé Cimetière;4;true;true
0065-B-3617-1519;;0065;65;3602;Parthenay Mairie;2;true;true
0065-B-3617-1519;;0065;65;3145;Touche Champagne;7;true;true
0065-B-3617-1519;;0065;65;1517;Berry;11;true;true
0065-B-3617-1519-3109;;0065;65;3617;Parthenay Fontaine;1;true;true
0065-B-3617-1519-3109;;0065;65;3602;Parthenay Mairie;2;true;true
0065-B-3617-1519-3109;;0065;65;3603;Clos des Tilleuls;3;true;true
0065-B-3617-1519-3109;;0065;65;3136;Pont Amelin;10;true;true
0065-B-3617-1519-3109;;0065;65;3109;Pacé Cimetière;13;true;true
0065-B-3617-1519-3109;;0065;65;3110;Carré Dumaine;14;true;true
0065-B-3617-1519-3109;;0065;65;3111;Le Ponant;15;true;true
0065-B-3617-1519-3109;;0065;65;1517;Berry;16;true;true
0065-B-3617-1519-3109;;0065;65;1519;Villejean-Université;18;true;true
0065-B-3617-1565;;0065;65;3617;Parthenay Fontaine;1;true;true
0065-B-3617-1565;;0065;65;3136;Pont Amelin;10;true;true
0065-B-3617-1565;;0065;65;1517;Berry;16;true;true
0065-B-3617-1565;;0065;65;1565;Lycée Basch;19;true;true
0067-A-2089-1167;;0067;67;1514;Moulin de Joué;11;true;true
0067-A-4151-1167;;0067;67;4151;Anjou;1;true;true
0067-A-4151-1167;;0067;67;4152;Mainguère;2;true;true
0067-A-4151-1167-2057;;0067;67;2039;Bordage;10;true;true
0067-A-4151-1167-2057;;0067;67;2017;Champs Péans;16;true;true
0067-A-4151-1167-2057;;0067;67;1528;Piletière;18;true;true
0001-A-1732-3028;;0001;C1;1121;Charles de Gaulle;2;true;true
0067-A-4151-1167-2089;;0067;67;4152;Mainguère;2;true;true
0001-A-1732-3028;;0001;C1;1085;Laënnec;4;true;true
0067-A-4151-1167-2089;;0067;67;4155;Destiers;5;true;true
0001-A-1732-3028;;0001;C1;3028;Rosa Parks;18;true;true
0067-A-4151-1167-2089;;0067;67;2039;Bordage;11;true;true
0001-A-2126-3028;;0001;C1;2126;Champs Blancs;1;true;true
0067-A-4151-1167-2089;;0067;67;1609;Tournebride;18;true;true
0001-A-2126-3028;;0001;C1;2002;Cesson Hôpital Privé;3;true;true
0067-A-4151-1167-2089;;0067;67;1528;Piletière;19;true;true
0001-A-2126-3028;;0001;C1;1006;Turmel;9;true;true
0067-B-1167-2161;;0067;67;1169;Musée Beaux Arts;2;true;true
0001-A-2126-3028;;0001;C1;1007;Assomption;10;true;true
0067-B-1167-2161;;0067;67;2019;Champs Péans;7;true;true
0001-A-2126-3028;;0001;C1;1011;Jules Ferry;14;true;true
0067-B-1167-2161;;0067;67;2020;Taillis;8;true;true
0001-A-2126-3028;;0001;C1;1555;Fossés;16;true;true
0067-B-1167-4151-2103;;0067;67;1169;Musée Beaux Arts;2;true;true
0001-A-2126-3028;;0001;C1;1121;Charles de Gaulle;19;true;true
0067-B-1167-4151-2103;;0067;67;2062;Rond Point de Bray;9;true;true
0001-A-2126-3028;;0001;C1;1243;Croix Saint-Hélier;22;true;true
0067-B-1167-4151-2103;;0067;67;4163;Turbanière;15;true;true
0001-A-2126-3028;;0001;C1;1316;Raison;23;true;true
0067-B-1167-4151-2103;;0067;67;4157;Pâtis;16;true;true
0001-A-2126-3028;;0001;C1;3029;Touche Annette;34;true;true
0067-B-1167-4151-2103;;0067;67;4161;Mainguère;20;true;true
0001-B-3028-1315;;0001;C1;3002;Deux Ruisseaux;4;true;true
0067-B-1167-4151-2103;;0067;67;4151;Anjou;21;true;true
0001-B-3028-1315;;0001;C1;1325;Landry;11;true;true
0067-B-1167-4151-2106;;0067;67;1167;République;1;true;true
0001-B-3028-1315;;0001;C1;1212;Mouézy;14;true;true
0067-B-1167-4151-2106;;0067;67;1522;Piletière;5;true;true
0001-B-3028-1315;;0001;C1;1213;Croix Saint-Hélier;15;true;true
0067-B-1167-4151-2106;;0067;67;2019;Champs Péans;7;true;true
0001-B-3028-2126;;0001;C1;3037;Chantepie Eglise;5;true;true
0067-B-1167-4151-2106;;0067;67;2065;Cesson Gare;12;true;true
0001-B-3028-2126;;0001;C1;1327;Raison;13;true;true
0067-B-1167-4151-2106;;0067;67;4157;Pâtis;18;true;true
0001-B-3028-2126;;0001;C1;1057;Laënnec;16;true;true
0067-B-1167-4151-2106;;0067;67;4158;Destiers;19;true;true
0001-B-3028-2126;;0001;C1;1704;Sévigné;22;true;true
0067-B-1167-4151-2106;;0067;67;4161;Mainguère;22;true;true
0001-B-3028-2126;;0001;C1;1030;Guéhenno;24;true;true
0068-A-4507-1529;;0068;68;4510;Prés Verts;3;true;true
0001-B-3028-2126;;0001;C1;2003;Cesson Hôpital Privé;34;true;true
